UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME
B6,6673,JetBlue Airways
VX,1006,Virgin America
VX,1006,Virgin America
04Q,1126,Tradewind Aviation
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AMQ,6055,Ameristar Air Cargo
AMQ,6055,Ameristar Air Cargo
G4,6035,Allegiant Air
G4,6035,Allegiant Air
0WQ,1150,Avjet Corporation
0WQ,1150,Avjet Corporation
0WQ,1150,Avjet Corporation
0WQ,1150,Avjet Corporation
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
GL,6690,Miami Air International
GL,6690,Miami Air International
GL,6690,Miami Air International
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,10877,United Air Lines Inc.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,11033,Southwest Airlines Co.
27Q,1194,"Jet Aviation Flight Services, Inc."
27Q,1194,"Jet Aviation Flight Services, Inc."
27Q,1194,"Jet Aviation Flight Services, Inc."
27Q,1194,"Jet Aviation Flight Services, Inc."
27Q,1194,"Jet Aviation Flight Services, Inc."
27Q,1194,"Jet Aviation Flight Services, Inc."
X9,16736,Omni Air International LLC
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
09Q,1130,"Swift Air, LLC"
KLQ,6774,Kalitta Charters II
KLQ,6774,Kalitta Charters II
LF,1189,CFM Inc d/b/a Contour Airlines
LF,1189,CFM Inc d/b/a Contour Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
SY,6795,Sun Country Airlines d/b/a MN Airlines
U7,6912,USA Jet Airlines Inc.
U7,6912,USA Jet Airlines Inc.
9S,6841,Southern Air Inc.
9S,6841,Southern Air Inc.
AS,6031,Alaska Airlines Inc.
AS,6031,Alaska Airlines Inc.
AX,6904,Trans States Airlines
AX,6904,Trans States Airlines
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
KS,6975,Peninsula Airways Inc.
ZK,6932,Great Lakes Airlines
ZK,6932,Great Lakes Airlines
4B,1177,Boutique Air
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AJQ,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
G4,6035,Allegiant Air
G4,6035,Allegiant Air
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
G7,7041,GoJet Airlines LLC d/b/a United Express
G7,7041,GoJet Airlines LLC d/b/a United Express
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
YX,6003,Republic Airlines
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
F9,6460,Frontier Airlines Inc.
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
FX,6200,Federal Express Corporation
NK,6830,Spirit Air Lines
NK,6830,Spirit Air Lines
YV,6689,Mesa Airlines Inc.
AX,6904,Trans States Airlines
AX,6904,Trans States Airlines
AX,6904,Trans States Airlines
MQ,6820,Envoy Air
MQ,6820,Envoy Air
ZK,6932,Great Lakes Airlines
ZK,6932,Great Lakes Airlines
EV,6085,ExpressJet Airlines Inc.
EV,6085,ExpressJet Airlines Inc.
EV,6085,ExpressJet Airlines Inc.
EV,6085,ExpressJet Airlines Inc.
5X,6910,United Parcel Service
5X,6910,United Parcel Service
5X,6910,United Parcel Service
5X,6910,United Parcel Service
5X,6910,United Parcel Service
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
AA,0A050,American Airlines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
DL,1260,Delta Air Lines Inc.
G7,7041,GoJet Airlines LLC d/b/a United Express
G7,7041,GoJet Airlines LLC d/b/a United Express
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
OO,6700,SkyWest Airlines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
UA,0A875,United Air Lines Inc.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
WN,6725,Southwest Airlines Co.
