AIRCRAFT_CONFIG,SEATS,PASSENGERS
1,150,146
1,119,117
1,119,119
1,8,2
1,50,43
1,100,41
1,50,35
1,50,22
1,50,38
1,50,0
2,0,0
2,0,0
1,215,156
1,215,0
1,8,3
1,16,4
1,16,3
1,8,2
1,187,62
1,187,56
1,199,160
1,132,30
1,192,150
1,199,160
1,160,139
1,110,103
1,132,4
1,192,129
1,72,62
1,72,0
1,149,148
1,158,150
1,158,149
1,158,102
1,72,50
1,149,147
1,199,160
1,158,156
1,144,61
1,72,52
1,173,0
1,173,0
1,173,27
1,128,126
1,166,70
1,166,152
1,128,122
1,179,174
1,166,163
1,179,58
1,219,200
1,286,281
1,286,278
1,175,175
1,143,141
1,143,142
1,175,160
1,175,164
1,143,143
1,143,132
1,143,143
1,175,165
1,143,140
1,175,120
1,8,1
1,8,0
1,12,1
1,8,1
1,12,0
1,8,6
1,218,0
1,358,30
1,179,15
1,179,21
1,179,0
1,537,45
1,179,138
1,179,138
1,179,0
1,179,20
2,0,0
2,0,0
1,16,14
1,16,13
1,324,286
1,162,149
1,162,129
1,162,148
1,162,93
1,162,156
1,162,93
1,162,154
2,0,0
2,0,0
2,0,0
2,0,0
1,178,156
1,178,156
1,50,49
1,50,34
1,30,5
1,1320,329
1,570,116
1,1350,343
1,690,176
1,90,37
1,1680,645
1,1440,423
1,570,82
1,1680,600
1,1440,422
1,30,5
1,630,153
1,19,5
1,19,5
1,8,6
1,50,20
1,50,40
1,50,34
1,150,121
1,156,113
1,156,151
1,160,150
1,160,133
1,140,124
1,181,168
1,181,74
1,160,150
1,181,154
1,160,150
1,160,142
1,187,150
1,160,133
1,110,101
1,110,110
1,320,281
1,160,155
1,160,154
1,110,106
1,160,160
1,70,70
1,70,55
1,50,35
1,50,0
1,50,0
1,50,46
1,50,48
1,76,0
1,70,70
1,70,62
1,76,69
1,76,58
1,50,45
1,50,43
1,70,67
1,76,69
1,76,0
1,70,69
1,70,48
1,70,63
1,70,63
1,76,65
1,50,40
1,76,76
1,50,50
1,50,0
1,70,0
1,70,68
1,76,73
1,76,0
1,70,0
1,50,0
1,70,34
1,76,53
1,70,0
1,76,62
1,70,16
1,50,0
1,76,0
1,76,76
1,50,41
1,70,69
1,76,65
1,50,45
1,70,68
1,70,67
1,150,140
1,166,151
1,128,127
1,150,84
1,150,144
1,179,154
1,150,150
1,150,144
1,150,89
1,128,86
1,128,126
1,242,200
1,214,126
1,128,106
1,166,137
1,128,102
1,128,121
1,150,134
1,166,99
1,150,128
1,166,105
1,128,126
1,166,162
1,128,119
1,166,124
1,242,173
1,169,161
1,214,207
1,166,107
1,169,166
1,166,164
1,179,97
1,150,138
1,166,38
1,150,128
1,150,109
1,169,129
1,732,385
1,166,159
1,166,157
1,128,125
1,166,123
1,143,107
1,143,139
1,143,128
1,143,121
1,143,140
1,143,128
1,143,136
1,143,133
1,143,138
1,143,139
1,175,163
1,143,141
1,143,123
1,143,84
1,175,175
1,143,143
1,143,140
1,175,171
1,143,140
1,76,61
1,76,73
1,76,70
1,76,65
1,70,60
1,70,33
1,76,65
1,76,69
1,70,52
1,76,67
1,76,52
1,150,134
1,150,143
1,150,64
1,180,178
1,150,113
1,180,180
1,150,126
1,180,136
1,180,180
1,150,110
1,180,145
1,180,151
1,180,136
1,150,142
1,180,132
1,180,171
1,150,150
1,180,169
1,180,102
1,180,180
1,180,142
1,180,152
1,180,4
1,180,140
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,145,144
1,145,127
1,79,66
1,50,45
1,50,47
1,50,43
1,50,44
1,50,48
1,114,88
1,114,94
1,50,47
1,50,47
1,50,47
1,50,49
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,300,267
1,362,322
1,300,267
1,264,251
1,360,356
1,320,287
1,140,133
1,140,122
1,140,125
1,140,124
1,152,87
1,152,91
1,152,146
1,152,138
1,50,0
1,139,73
1,152,64
1,140,0
1,152,65
1,140,96
1,152,145
1,140,108
1,300,223
1,300,112
1,332,314
1,300,275
1,256,244
1,332,322
1,300,269
1,332,180
1,332,318
1,300,205
1,256,243
1,300,250
1,332,273
1,256,211
1,300,255
1,300,220
1,332,149
1,256,166
1,256,243
1,300,228
1,286,217
1,350,49
1,286,165
1,286,274
1,286,254
1,286,265
1,286,253
1,286,204
1,286,281
1,286,274
1,286,275
1,286,256
1,286,236
1,152,104
1,152,112
1,152,137
1,140,132
1,152,127
1,140,137
1,300,274
1,360,295
1,360,290
1,360,299
1,300,242
1,360,289
1,360,299
2,0,0
2,0,0
1,152,143
1,152,139
2,0,0
1,480,396
1,210,177
1,210,199
1,210,199
1,210,191
1,210,166
1,210,199
1,210,166
1,150,143
1,210,136
1,150,119
1,210,193
1,228,211
1,228,192
1,210,203
1,150,115
1,150,135
1,150,141
1,210,192
1,150,131
1,210,131
1,210,201
1,210,206
1,150,147
1,209,89
1,150,90
1,150,140
1,150,147
1,210,204
1,210,107
1,486,333
1,384,368
1,486,446
1,384,358
1,384,346
1,537,462
1,450,331
1,498,471
1,384,346
1,450,379
1,498,482
1,429,336
1,525,465
1,429,412
1,429,394
1,525,513
1,429,388
1,429,383
1,429,400
1,350,347
1,429,424
1,429,391
1,429,385
1,429,417
1,525,481
1,429,417
1,429,330
1,429,350
1,429,374
1,423,395
1,429,380
1,429,427
1,429,311
1,429,400
1,525,508
1,228,203
1,228,144
1,210,200
1,228,193
1,228,190
1,210,169
1,210,197
1,228,213
1,210,122
1,210,198
1,228,196
1,228,200
1,210,198
1,210,197
1,210,206
1,210,192
1,210,130
1,450,425
1,450,424
1,690,445
1,690,517
1,540,381
1,150,126
1,150,100
1,150,123
1,150,132
1,150,141
1,150,143
1,150,92
1,150,139
1,150,142
2,0,0
1,304,126
1,304,169
1,560,483
1,560,541
1,280,210
1,280,265
1,280,255
1,280,274
1,200,188
1,304,260
1,304,277
1,280,236
1,280,164
1,200,187
1,280,160
1,200,191
1,304,168
1,304,293
1,200,144
1,280,253
1,512,462
1,704,509
1,600,395
1,664,577
1,600,540
1,512,438
1,600,555
1,704,623
1,652,571
1,664,588
1,600,503
1,652,479
1,600,545
1,676,638
1,830,754
1,512,456
1,664,615
1,512,397
1,716,497
1,1464,668
1,716,684
1,600,397
1,676,642
1,664,617
1,716,650
1,700,660
1,700,624
1,566,506
1,700,651
1,572,549
1,572,553
1,700,677
1,572,561
1,572,543
1,572,542
1,700,649
1,572,516
1,572,551
1,304,276
1,280,256
1,280,242
1,304,208
1,720,693
1,600,561
1,720,577
1,600,567
1,648,505
1,200,185
1,200,158
1,193,146
1,258,211
2,0,0
2,0,0
2,0,0
2,0,0
1,350,281
1,350,308
1,350,328
1,250,163
1,380,359
1,250,180
1,380,365
1,350,280
1,350,314
1,380,364
1,250,228
1,350,299
1,350,192
1,200,142
1,250,197
1,350,230
1,350,335
1,380,357
1,200,124
1,279,201
1,750,738
1,895,852
1,640,581
1,750,461
1,895,813
1,640,500
1,1820,1483
1,640,528
1,750,632
1,750,602
1,900,694
1,750,592
1,640,490
1,830,823
1,640,564
1,895,697
1,895,804
1,750,656
1,830,699
1,640,605
1,640,613
1,640,619
1,715,619
1,715,633
1,715,665
1,715,697
1,715,686
1,715,673
1,875,715
1,875,821
1,715,700
1,350,331
1,1150,877
1,1150,1091
1,810,653
1,250,209
1,95,14
1,95,13
1,420,387
1,420,390
1,420,349
1,420,332
1,420,382
1,456,421
1,456,363
1,456,412
1,300,272
1,456,190
1,420,330
1,420,329
1,456,384
1,420,392
1,420,325
1,456,222
1,420,300
1,300,248
1,420,382
1,420,375
1,1074,937
1,1074,850
1,900,727
1,984,930
1,900,795
1,900,780
1,900,811
1,2184,2053
1,984,954
1,768,755
1,900,755
1,900,817
1,900,761
1,858,801
1,1225,1157
1,1050,989
1,858,753
1,1050,994
1,1050,915
1,1050,885
1,1050,1002
1,420,398
1,350,308
1,420,400
1,420,387
1,420,397
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,300,251
1,1162,921
1,1162,858
1,490,453
1,490,450
1,490,419
1,532,448
1,532,503
1,490,430
1,532,489
1,532,480
1,1162,843
1,896,877
1,896,630
1,1162,904
1,896,862
1,896,701
1,1253,869
1,1253,802
1,896,706
1,1253,1153
1,896,772
1,896,761
1,1253,780
1,1253,1034
1,1253,938
1,1050,895
1,1253,1158
1,1162,1054
1,896,807
1,1050,844
1,995,953
1,1225,1150
1,1225,1144
1,1001,944
1,1225,1152
1,1001,959
1,1001,928
1,350,290
1,350,298
1,350,294
2,0,0
2,0,0
1,1200,876
1,1200,1007
1,560,523
1,560,530
1,490,397
1,560,464
1,1024,972
1,1024,642
1,1200,1038
1,1200,1017
1,1328,1240
1,1024,945
1,1200,1016
1,1420,1072
1,1432,1323
1,1200,922
1,1024,812
1,1200,1170
1,1432,1232
1,1400,1209
1,1138,1010
1,1144,1105
1,1144,986
1,1144,1099
1,1144,1062
1,1144,1048
1,1144,1056
1,1400,1313
1,560,525
1,1200,917
1,1200,905
2,0,0
1,400,371
1,400,245
1,400,344
1,1404,1299
1,1404,1257
1,1494,1268
1,1404,1267
1,1494,1272
1,1404,1184
1,450,308
1,450,344
1,450,356
1,684,651
1,450,409
1,630,549
1,684,570
1,630,486
1,684,630
1,1350,1215
1,1350,1254
1,1494,1266
1,1350,1185
1,1350,1144
1,1350,1259
1,1350,1183
1,1287,1056
1,1575,1296
1,1575,1501
1,1575,1369
1,1287,1151
1,1350,1275
2,0,0
1,760,724
1,500,444
1,760,690
1,760,667
1,500,486
1,1500,1341
1,1500,1358
1,1500,1248
1,1648,1089
1,1280,1073
1,1500,1261
1,1500,1472
1,1790,1663
1,1790,1618
1,1280,916
1,1430,1332
1,1430,1178
1,1750,1691
1,1573,1359
1,1430,1336
1,1430,1329
1,1430,1366
1,700,670
1,1500,1287
1,1500,1366
1,1500,1436
2,0,0
2,0,0
1,500,403
1,500,422
1,19,13
1,19,11
1,80,77
1,72,64
1,1452,1341
1,550,477
1,1826,1750
1,1650,1180
1,1650,1532
1,1660,1609
1,1957,1689
1,1969,1761
1,1814,1619
1,1814,1216
1,1925,1806
1,1573,1499
1,1925,1838
1,1573,1517
1,1650,1388
1,1650,1401
1,550,503
1,1950,1704
1,1950,1770
1,840,776
1,840,761
1,600,528
1,1950,1716
1,1536,1426
1,1980,1878
1,1800,1731
1,1980,1873
1,2112,1577
1,1800,1543
1,1716,1498
2,0,0
1,600,520
1,2028,1874
1,2028,1776
1,1716,1492
1,909,762
1,650,501
1,1950,1495
1,2324,1903
1,2146,1926
1,2158,1870
1,2158,1836
1,1950,1772
1,2327,2217
1,1664,1579
1,1950,1724
1,1950,1648
1,2340,2259
1,1950,1855
1,2340,2180
1,1950,1820
1,1950,1849
1,1950,1862
1,1950,1853
2,0,0
1,700,596
1,2100,1486
1,2288,2007
1,2324,2082
1,2324,1877
1,1664,1586
1,2312,2069
1,2324,2031
1,2324,1929
1,2002,1910
1,2450,2359
1,3220,2967
1,3220,2602
1,1140,1007
1,750,644
1,1140,1053
1,2490,2081
1,2490,2231
1,2673,2331
1,2490,2302
1,980,932
1,2700,2455
1,2700,2373
2,0,0
1,750,637
1,750,565
1,750,569
1,1140,1004
1,1140,1024
1,2880,2613
1,800,605
1,2656,2324
1,2400,2187
1,2048,1854
1,2656,2427
1,2644,2296
1,1120,985
1,2880,2812
1,2880,2728
1,2400,2234
1,2400,2227
1,2400,1813
1,2400,2302
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,800,707
1,800,708
1,128,117
1,128,121
1,3582,3355
1,3383,3222
1,1190,1059
1,1292,807
1,1190,1129
1,1292,1048
1,1190,1124
1,1292,1098
1,2176,1932
1,3043,2665
1,3401,3223
1,3043,2875
1,2550,2193
1,2176,1985
1,2656,2494
1,3031,2721
1,3019,2500
1,2431,2123
1,2550,2319
1,3060,2891
1,2550,2433
1,3060,2934
1,850,679
1,1260,918
1,1368,1058
1,1260,888
1,1368,1184
1,1260,873
1,3222,2893
1,2988,2741
1,2304,2115
1,2304,2160
1,3222,3066
1,2988,2620
1,2304,2097
1,2700,1747
1,2700,2494
1,2700,2222
1,3222,3047
1,3150,2922
1,1190,1052
1,900,801
1,900,769
1,900,677
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,1330,799
1,1330,1235
1,1444,988
1,2432,2334
1,2432,1451
1,2432,2272
1,2432,2077
1,3401,3116
1,3130,2211
1,2432,2274
1,3401,2356
1,4788,4382
1,2432,1495
1,3142,2518
1,2432,1960
1,4788,4400
1,2850,2747
1,1330,1220
1,1330,1203
1,1330,1222
1,1330,1232
1,1330,1144
1,2850,2198
2,0,0
2,0,0
2,0,0
1,1400,1231
1,1400,642
1,1330,1219
1,1380,893
1,1520,1309
1,1520,1343
1,1000,727
1,1400,1359
1,1520,1266
1,1520,1489
1,1330,1264
1,3000,2599
1,3000,2835
1,3000,2533
1,3000,2539
1,2560,1873
1,3308,2451
1,2560,2357
1,3000,2185
1,3000,2786
1,3000,2694
1,3000,2630
1,3000,2341
1,3500,3315
1,3600,3185
1,3600,3192
1,3000,2392
1,3779,3556
1,1400,1220
1,1050,852
1,1596,1345
1,1050,987
1,1449,1004
1,3320,3030
1,3150,2821
1,3474,3082
1,2688,2389
1,3150,2839
1,2688,2401
1,3735,3102
1,3759,3465
1,2560,2346
1,2688,2571
1,2688,2463
1,2560,2399
1,3150,2854
1,3150,2937
1,3486,3323
1,3003,2247
1,3675,1683
1,3675,2102
1,3675,3148
1,1469,1354
2,0,0
2,0,0
1,1470,1332
1,1540,1184
1,1540,1171
1,1540,696
1,1672,1581
1,1100,779
1,1540,1379
1,1672,1215
1,2816,2543
1,3300,3055
1,2816,2489
1,2816,1559
1,7913,6174
1,3300,3078
1,3150,2855
1,2816,2673
1,3300,2966
1,3300,2615
1,2816,2661
1,3938,3690
1,2816,2037
1,3146,2872
1,3850,3714
1,3850,3766
1,1540,1430
1,3960,3289
1,3960,3366
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,1610,1245
1,1750,1602
1,1610,1484
1,1150,1064
1,1748,1645
1,1748,1532
1,1748,1650
1,1150,1087
1,1748,1653
1,1748,1379
1,1748,1578
1,1748,1367
1,1748,1652
1,1150,1023
1,1150,996
1,1610,1102
1,4117,3699
1,4117,3729
1,2944,2485
1,3450,2105
1,2944,2706
1,4117,3887
1,3794,3365
1,8277,6738
1,3289,2635
1,4025,3760
1,3146,2970
1,4025,3708
1,4025,2760
1,4025,3476
1,1609,1450
1,1609,1269
1,1150,1046
1,1100,1009
1,1150,1096
1,1150,916
1,2640,2486
1,2640,2380
1,1750,1462
