AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,CLASS,DISTANCE,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED
6,694,1,F,854,0,1
6,698,1,F,967,0,1
6,698,1,F,967,0,1
6,646,1,L,604,0,1
6,675,1,L,488,0,1
6,675,1,L,576,0,2
6,675,1,L,488,0,1
6,675,1,L,889,0,1
6,675,1,L,889,0,1
6,675,1,L,1464,0,1
6,635,2,P,1199,0,1
6,635,2,P,1278,0,1
6,622,1,L,761,0,1
6,622,1,L,604,0,1
6,684,1,L,725,0,1
6,684,1,L,735,0,2
6,684,1,L,735,0,2
6,684,1,L,292,0,1
6,699,1,L,602,0,1
6,699,1,L,1558,0,1
6,622,1,F,1184,0,1
6,698,1,F,1199,0,1
6,699,1,F,1199,0,1
6,622,1,F,1184,0,1
6,694,1,F,592,0,1
6,608,1,F,230,0,1
6,698,1,F,1199,0,1
6,699,1,F,1199,0,1
6,622,1,L,1199,0,1
6,622,1,L,1069,0,1
6,655,1,F,1123,0,1
6,656,1,F,483,0,1
6,656,1,F,628,0,1
6,656,1,F,853,0,1
6,622,1,L,391,0,1
6,655,1,F,1123,0,1
6,622,1,F,680,0,1
6,656,1,F,495,0,1
6,622,1,L,967,0,2
6,622,1,L,391,0,1
6,614,1,L,1671,0,1
6,614,1,L,1136,0,1
6,614,1,L,954,0,1
6,698,1,F,150,0,1
6,614,1,L,1201,0,1
6,614,1,F,967,0,1
6,698,1,F,862,0,1
6,634,1,F,1709,0,1
6,614,1,F,1482,0,1
6,634,1,L,541,0,1
8,887,1,F,967,0,1
6,612,1,F,73,0,2
6,612,1,F,90,0,2
6,614,1,F,90,0,1
6,612,1,F,602,0,1
6,612,1,F,1359,0,1
6,614,1,F,929,0,1
6,614,1,F,1250,0,1
6,612,1,F,1095,0,1
6,612,1,F,1278,0,1
6,612,1,F,456,0,1
6,614,1,F,771,0,1
6,612,1,F,943,0,1
6,614,1,F,73,0,1
5,515,1,L,764,0,1
5,515,1,L,903,0,1
6,688,1,L,937,0,1
5,515,1,L,764,0,1
6,688,1,L,1166,0,1
5,515,1,L,919,0,1
