AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
20409,B6,30550,Mackey International Inc.,MAC,30550,Mackey International Inc.,10,1,6,Domestic,1/1/1960,12/31/1982
21171,VX,4530,Munz Northern Airlines Inc.,XY,4530,Munz Northern Airlines Inc.,10,1,1,Domestic,1/1/1960,9/30/1983
21171,VX,30337,Cochise Airlines Inc.,COC,30337,Cochise Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1984
21080,04Q,37760,Golden Gate Airlines Inc.,GSA,37760,Golden Gate Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1984
20354,AJQ,30012,Aeromech Inc.,RZZ,30012,Aeromech Inc.,10,1,6,Domestic,1/1/1960,12/31/1984
20354,AJQ,30474,Golden West Airlines Co.,GLW,30474,Golden West Airlines Co.,10,1,6,Domestic,1/1/1960,12/31/1985
20354,AJQ,30657,Puerto Rico Intl Airlines,PRN,30657,Puerto Rico Intl Airlines,10,1,6,Domestic,1/1/1960,12/31/1985
20354,AJQ,30780,Air America Inc.,STZ,30780,Air America Inc.,10,1,6,Domestic,1/1/1960,12/31/1985
20354,AJQ,30795,Swift Aire Lines Inc.,SWT,30795,Swift Aire Lines Inc.,10,1,6,Domestic,1/1/1960,12/31/1985
20354,AJQ,37868,American Central Airlines,TSF,37868,American Central Airlines,10,1,6,Domestic,1/1/1960,12/31/1985
20201,AMQ,37895,Valdez Airlines,VEZ,37895,Valdez Airlines,10,1,6,Domestic,1/1/1960,12/31/1985
20201,AMQ,30911,Southeast Alaska Airlines,WEB,30911,Southeast Alaska Airlines,10,1,6,Domestic,1/1/1960,12/31/1985
20368,G4,30159,Altair Airlines Inc.,AAR,30159,Altair Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1986
20368,G4,30336,Chitina Air Service,CHI,30336,Chitina Air Service,10,1,6,Domestic,1/1/1960,12/31/1986
21352,0WQ,30552,Marco Island Airways Inc.,MRC,30552,Marco Island Airways Inc.,10,1,6,Domestic,1/1/1960,12/31/1986
21352,0WQ,30297,Caribbean Air Services Inc.,OHZ,30297,Caribbean Air Services Inc.,10,1,6,Domestic,1/1/1960,12/31/1986
21352,0WQ,37612,Sundance Airlines,PRO,37612,Sundance Airlines,10,1,6,Domestic,1/1/1960,12/31/1986
21352,0WQ,37817,Seair Alaska Airlines Inc.,SAI,37817,Seair Alaska Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1986
19805,AA,30770,Southeast Airlines Inc.,SLZ,30770,Southeast Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1986
19805,AA,30126,Alaska Aeronautical Indust.,AAZ,30126,Alaska Aeronautical Indust.,10,1,6,Domestic,1/1/1960,12/31/1987
19790,DL,30500,Imperial Airlines Inc.,IMP,30500,Imperial Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1987
19790,DL,37637,Trans Western Airlines Utah,TWA,37637,Trans Western Airlines Utah,10,1,6,Domestic,1/1/1960,12/31/1987
19790,DL,37994,Wright Airlines Inc.,WRT,37994,Wright Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1987
19790,DL,30342,Presidential Express,COL,30342,Presidential Express,10,1,6,Domestic,1/1/1960,12/31/1988
19790,DL,30580,Mississippi Valley Airlines,MVA,30580,Mississippi Valley Airlines,10,1,6,Domestic,1/1/1960,12/31/1989
19790,DL,37762,Channel Flying Inc.,CHL,37762,Channel Flying Inc.,10,1,6,Domestic,1/1/1960,12/31/1990
19790,DL,30682,Rocky Mountain Airways Inc.,JCZ,30682,Rocky Mountain Airways Inc.,10,1,6,Domestic,1/1/1960,12/31/1990
19790,DL,30560,Midstate Airlines Inc.,MIS,30560,Midstate Airlines Inc.,10,1,6,Domestic,1/1/1960,12/31/1990
19790,DL,30715,Sedalia Marshall Boonvl Stg,STG,30715,Sedalia Marshall Boonvl Stg,10,1,6,Domestic,1/1/1960,12/31/1990
19790,DL,30353,Inlet Airlines,CKI,30353,Inlet Airlines,10,1,6,Domestic,1/1/1960,12/31/1991
19790,DL,30352,Command Airways Inc.,CMD,30352,Command Airways Inc.,10,1,6,Domestic,1/1/1960,12/31/1991
19790,DL,37763,Emerald Airlines,EMA,37763,Emerald Airlines,10,1,6,Domestic,1/1/1960,12/31/1991
19790,DL,37888,Orion Air Inc.,ORI,37888,Orion Air Inc.,10,1,6,Domestic,1/1/1960,12/31/1991
19790,DL,30670,Pan Am Express,RAN,30670,Pan Am Express,10,1,6,Domestic,1/1/1960,12/31/1991
19790,DL,10025,Air Micronesia Inc.,AJ,10025,Air Micronesia Inc.,10,1,1,Pacific,1/1/1960,6/30/1993
19790,DL,37887,Sunbird Inc.,SKI,37887,Sunbird Inc.,10,1,6,Domestic,1/1/1960,12/31/1996
19790,DL,37849,Wings West Airlines,WWI,37849,Wings West Airlines,10,1,6,Domestic,1/1/1960,3/31/1998
19790,DL,37899,Southcentral Air Inc.,AND,37899,Southcentral Air Inc.,10,1,6,Domestic,1/1/1960,6/30/2000
19790,DL,37944,Air Cargo Express Inc.,ACG,37944,Air Cargo Express Inc.,10,1,6,Domestic,1/1/1960,12/31/2001
19790,DL,30861,Associated Aviation Act.,AAA,30861,Associated Aviation Act.,10,1,6,Domestic,1/1/1960,9/30/2002
20402,GL,30201,Antilles Air Boats Inc.,AAB (1),30201,Antilles Air Boats Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20402,GL,37700,AAA Airlines,AAE,37700,AAA Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20402,GL,37724,Argosy Air Lines Inc.,AAL,37724,Argosy Air Lines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37793,Air Bahia,ABH,37793,Air Bahia,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37747,Airbama Incorporated,ABI,37747,Airbama Incorporated,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37942,Aeronaves Boringuena Inc.,ABO,37942,Aeronaves Boringuena Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37680,Alaska Central Airways Inc.,ACA,37680,Alaska Central Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37701,Island Airlines Hawaii Inc.,ACH,37701,Island Airlines Hawaii Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37885,AAA-Action Air Carrier Inc.,ACI,37885,AAA-Action Air Carrier Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37731,Air Cargo Enterprises Inc.,ACO,37731,Air Cargo Enterprises Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37953,Air Chaparral Inc.,ACP,37953,Air Chaparral Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37782,Alamo Commuter Airlines,ACS,37782,Alamo Commuter Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37652,Air Central Inc.,ACT,37652,Air Central Inc. (1),10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37744,Air Central Inc.,ACK,37744,Air Central Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37915,Astec Air East Inc.,AEC,37915,Astec Air East Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37874,American Flag Airlines Inc.,AFA,37874,American Flag Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
