RAMP_TO_RAMP,AIR_TIME,DISTANCE
124,107,854
144,125,967
162,121,967
120,108,604
91,72,488
200,165,576
91,82,488
131,116,889
143,124,889
206,196,1464
178,168,1199
181,167,1278
132,120,761
96,72,604
122,113,725
234,210,735
233,209,735
54,47,292
164,88,602
260,216,1558
169,152,1184
212,172,1199
174,156,1199
166,148,1184
91,75,592
83,54,230
153,132,1199
173,152,1199
167,143,1199
142,128,1069
158,137,1123
152,126,483
118,92,628
142,115,853
92,70,391
178,151,1123
142,101,680
115,76,495
280,229,967
84,53,391
275,255,1671
160,140,1136
150,120,954
48,36,150
168,151,1201
218,190,967
144,116,862
298,270,1709
249,217,1482
86,79,541
206,119,967
83,41,73
96,45,90
40,23,90
162,137,602
230,213,1359
167,148,929
212,198,1250
170,156,1095
225,210,1278
129,115,456
128,112,771
162,141,943
34,19,73
144,132,764
150,132,903
144,126,937
120,102,764
174,162,1166
144,132,919
120,90,628
195,161,595
162,151,1049
155,132,957
157,142,1120
266,186,391
58,41,312
67,49,312
210,196,1413
92,82,541
145,125,957
140,120,870
129,110,896
124,106,804
473,369,632
124,102,637
213,175,632
208,175,637
209,179,436
191,169,598
207,183,436
211,182,598
170,160,1070
175,155,967
3922,3343,1069
3620,2944,1069
48,19,73
180,148,1068
55,29,150
136,114,495
32,13,22
2622,1956,150
1692,1405,292
2489,1733,150
1912,1491,292
224,176,0
4620,3767,305
3481,2635,228
1605,1299,280
5338,4462,305
3700,2947,228
100,87,274
1830,1524,280
117,103,420
79,60,231
100,84,0
60,45,150
86,67,519
106,81,576
298,260,576
78,60,420
84,60,420
42,20,73
97,78,592
117,85,403
255,207,1754
144,115,862
150,106,771
255,196,1546
157,138,911
219,201,1436
159,140,967
87,71,411
166,136,862
126,86,680
219,176,680
78,60,391
176,154,1123
131,103,680
112,95,680
110,74,541
153,132,1015
91,61,391
143,97,746
137,100,734
104,85,580
56,41,230
218,191,1487
78,52,349
210,183,1199
151,129,775
109,89,692
89,64,391
64,37,230
122,91,641
169,137,1015
133,118,862
134,64,406
125,98,771
148,127,964
81,61,472
139,114,888
158,133,898
135,112,853
162,130,1024
180,147,967
233,134,967
145,110,846
106,86,557
131,86,592
109,84,655
160,122,862
89,57,406
74,51,113
139,113,862
129,110,771
141,122,964
123,93,734
200,134,888
148,131,991
129,111,730
153,122,853
136,107,794
178,105,496
141,118,909
129,114,846
66,48,349
240,218,1671
258,235,1754
107,67,524
66,52,349
94,66,455
215,194,1754
89,74,524
172,144,1069
152,128,1123
215,203,1703
199,179,1452
140,113,862
108,89,628
88,70,533
208,184,1546
123,111,888
198,175,1558
120,102,776
194,178,1482
128,113,804
85,69,391
136,97,770
115,95,770
82,63,541
216,185,1452
141,119,862
137,110,862
101,80,533
223,204,1546
123,105,776
123,105,776
230,200,1482
134,99,804
124,107,794
141,119,916
149,122,967
272,215,967
132,114,846
134,109,770
148,111,770
99,86,541
292,248,1449
176,164,1201
65,51,349
110,97,649
155,137,1123
145,128,1015
119,104,896
153,138,991
201,180,1558
149,118,804
218,200,1607
89,73,541
172,153,1123
153,137,1015
153,137,1062
205,189,1290
121,102,804
228,212,1607
133,118,909
182,159,1199
43,17,73
164,139,1201
50,21,73
98,74,589
98,64,420
89,64,472
89,66,391
90,68,420
177,153,1024
100,80,541
162,143,1069
161,142,1154
153,133,1123
183,109,862
153,135,977
213,189,1546
228,183,1546
119,95,679
134,111,888
131,113,888
113,83,602
115,93,770
139,123,1162
193,154,1123
220,194,1452
152,125,862
163,145,977
214,192,1546
112,84,679
179,134,888
112,88,602
152,121,770
210,188,1506
172,159,1162
191,159,641
136,115,977
216,181,533
176,151,1062
95,72,391
108,90,639
60,42,216
147,129,977
101,82,533
221,198,1061
133,115,957
153,133,1123
159,142,862
128,99,593
72,53,250
62,45,250
157,141,1015
113,97,722
164,120,722
535,436,383
617,526,383
144,124,773
50,23,73
170,136,862
149,127,886
164,138,1026
104,86,628
148,123,1024
87,60,391
94,57,391
343,309,991
329,274,862
536,422,1558
211,179,680
204,174,680
144,108,391
286,241,1015
206,176,589
84,38,73
78,36,73
134,83,212
236,191,624
328,287,991
282,227,794
169,129,833
112,73,89
130,76,212
242,196,773
204,161,624
440,394,1100
308,243,853
223,178,616
416,310,1199
326,294,1069
471,413,1476
338,296,1199
491,440,1754
371,334,1476
271,230,836
139,107,420
368,328,1436
276,241,916
426,385,1506
217,182,639
271,236,996
536,450,1605
238,205,836
322,286,1015
177,136,420
214,175,628
