DISTANCE_GROUP,DISTANCE
2,854
2,967
2,967
2,604
1,488
2,576
1,488
2,889
2,889
3,1464
3,1199
3,1278
2,761
2,604
2,725
2,735
2,735
1,292
2,602
4,1558
3,1184
3,1199
3,1199
3,1184
2,592
1,230
3,1199
3,1199
3,1199
3,1069
3,1123
1,483
2,628
2,853
1,391
3,1123
2,680
1,495
2,967
1,391
4,1671
3,1136
2,954
1,150
3,1201
2,967
2,862
4,1709
3,1482
2,541
2,967
1,73
1,90
1,90
2,602
3,1359
2,929
3,1250
3,1095
3,1278
1,456
2,771
2,943
1,73
2,764
2,903
2,937
2,764
3,1166
2,919
2,628
2,595
3,1049
2,957
3,1120
1,391
1,312
1,312
3,1413
2,541
2,957
2,870
2,896
2,804
2,632
2,637
2,632
2,637
1,436
2,598
1,436
2,598
3,1070
2,967
3,1069
3,1069
1,73
3,1068
1,150
1,495
1,22
1,150
1,292
1,150
1,292
1,0
1,305
1,228
1,280
1,305
1,228
1,274
1,280
1,420
1,231
1,0
1,150
2,519
2,576
2,576
1,420
1,420
1,73
2,592
1,403
4,1754
2,862
2,771
4,1546
2,911
3,1436
2,967
1,411
2,862
2,680
2,680
1,391
3,1123
2,680
2,680
2,541
3,1015
1,391
2,746
2,734
2,580
1,230
3,1487
1,349
3,1199
2,775
2,692
1,391
1,230
2,641
3,1015
2,862
1,406
2,771
2,964
1,472
2,888
2,898
2,853
3,1024
2,967
2,967
2,846
2,557
2,592
2,655
2,862
1,406
1,113
2,862
2,771
2,964
2,734
2,888
2,991
2,730
2,853
2,794
1,496
2,909
2,846
1,349
4,1671
4,1754
2,524
1,349
1,455
4,1754
2,524
3,1069
3,1123
4,1703
3,1452
2,862
2,628
2,533
4,1546
2,888
4,1558
2,776
3,1482
2,804
1,391
2,770
2,770
2,541
3,1452
2,862
2,862
2,533
4,1546
2,776
2,776
3,1482
2,804
2,794
2,916
2,967
2,967
2,846
2,770
2,770
2,541
3,1449
3,1201
1,349
2,649
3,1123
3,1015
2,896
2,991
4,1558
2,804
4,1607
2,541
3,1123
3,1015
3,1062
3,1290
2,804
4,1607
2,909
3,1199
1,73
3,1201
1,73
2,589
1,420
1,472
1,391
1,420
3,1024
2,541
3,1069
3,1154
3,1123
2,862
2,977
4,1546
4,1546
2,679
2,888
2,888
2,602
2,770
3,1162
3,1123
3,1452
2,862
2,977
4,1546
2,679
2,888
2,602
2,770
4,1506
3,1162
2,641
2,977
2,533
3,1062
1,391
2,639
1,216
2,977
2,533
3,1061
2,957
3,1123
2,862
2,593
1,250
1,250
3,1015
2,722
2,722
1,383
1,383
2,773
1,73
2,862
2,886
3,1026
2,628
3,1024
1,391
1,391
2,991
2,862
4,1558
2,680
2,680
1,391
3,1015
2,589
1,73
1,73
1,212
2,624
2,991
2,794
2,833
1,89
1,212
2,773
2,624
3,1100
2,853
2,616
3,1199
3,1069
3,1476
3,1199
4,1754
3,1476
2,836
1,420
3,1436
2,916
4,1506
2,639
2,996
4,1605
2,836
3,1015
1,420
2,628
4,1506
2,639
2,649
1,349
3,1491
3,1449
3,1154
2,836
3,1024
1,391
2,836
2,991
2,853
3,1024
2,948
3,1154
3,1083
3,1154
2,680
2,541
1,495
2,826
2,680
