DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID
11292,1129202,30325
14771,1477102,32457
11292,1129202,30325
10325,1032504,30325
11315,1131502,31315
12389,1238902,32389
11292,1129202,30325
15016,1501603,31123
11503,1150303,31503
11503,1150303,31503
11292,1129202,30325
11996,1199603,31871
15570,1557001,35570
11109,1110902,30189
10800,1080003,32575
11503,1150303,31503
10800,1080003,32575
10372,1037203,30372
14107,1410702,30466
11292,1129202,30325
11109,1110902,30189
11292,1129202,30325
11292,1129202,30325
10397,1039705,30397
11298,1129804,30194
11292,1129202,30325
10397,1039705,30397
10397,1039705,30397
10397,1039705,30397
11193,1119302,33105
11433,1143302,31295
11775,1177502,31775
12889,1288903,32211
14679,1467903,33570
14869,1486903,34614
11292,1129202,30325
11292,1129202,30325
11292,1129202,30325
11292,1129202,30325
11292,1129202,30325
11292,1129202,30325
16091,1609103,31295
11109,1110902,30189
11292,1129202,30325
11042,1104203,30647
12448,1244805,32448
12892,1289205,32575
13303,1330303,32467
14524,1452401,34524
11292,1129202,30325
14771,1477102,32457
11292,1129202,30325
11292,1129202,30325
11292,1129202,30325
11109,1110902,30189
10792,1079204,30792
11140,1114006,31140
11481,1148102,31481
11973,1197302,31973
11996,1199603,31871
12896,1289605,32896
12992,1299204,32600
11109,1110902,30189
11292,1129202,30325
10423,1042302,30423
13930,1393004,30977
14831,1483104,32457
10325,1032504,30325
10325,1032504,30325
10372,1037203,30372
12889,1288903,32211
11292,1129202,30325
11292,1129202,30325
13796,1379604,32457
14275,1427502,34275
14869,1486903,34614
11921,1192102,31921
11563,1156303,31563
11292,1129202,30325
11292,1129202,30325
13796,1379604,32457
11292,1129202,30325
13342,1334205,33342
11292,1129202,30325
10590,1059004,30590
10590,1059004,30590
11292,1129202,30325
11719,1171902,31719
13502,1350202,33502
14288,1428803,34288
10590,1059004,30590
10590,1059004,30590
14288,1428803,34288
13796,1379604,32457
11292,1129202,30325
11193,1119302,33105
11292,1129202,30325
11109,1110902,30189
11292,1129202,30325
13851,1385103,33851
11292,1129202,30325
11292,1129202,30325
11292,1129202,30325
10558,1055803,30558
11283,1128302,31283
11292,1129202,30325
11468,1146802,31468
12899,1289902,32899
12902,1290203,32902
11292,1129202,30325
11292,1129202,30325
10325,1032504,30325
11292,1129202,30325
14081,1408102,34081
11711,1171102,31711
11292,1129202,30325
11292,1129202,30325
10409,1040903,30409
12389,1238902,32389
11292,1129202,30325
12889,1288903,32211
11921,1192102,31921
11292,1129202,30325
11298,1129804,30194
12278,1227803,30928
10721,1072102,30721
12892,1289205,32575
12992,1299204,32600
11292,1129202,30325
11109,1110902,30189
11292,1129202,30325
11292,1129202,30325
11109,1110902,30189
12892,1289205,32575
13487,1348702,31650
13487,1348702,31650
14869,1486903,34614
