DEST_STATE_NM,DEST_AIRPORT_ID,DEST
Colorado,11292,DEN
California,14771,SFO
Colorado,11292,DEN
Colorado,10325,APA
North Dakota,11315,DIK
North Dakota,12389,ISN
Colorado,11292,DEN
Missouri,15016,STL
Colorado,11503,EGE
Colorado,11503,EGE
Colorado,11292,DEN
South Carolina,11996,GSP
California,15570,VCV
Colorado,11109,COS
California,10800,BUR
Colorado,11503,EGE
California,10800,BUR
Colorado,10372,ASE
Arizona,14107,PHX
Colorado,11292,DEN
Colorado,11109,COS
Colorado,11292,DEN
Colorado,11292,DEN
Georgia,10397,ATL
Texas,11298,DFW
Colorado,11292,DEN
Georgia,10397,ATL
Georgia,10397,ATL
Georgia,10397,ATL
Kentucky,11193,CVG
Michigan,11433,DTW
South Dakota,11775,FSD
Nevada,12889,LAS
California,14679,SAN
Utah,14869,SLC
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Michigan,16091,YIP
Colorado,11109,COS
Colorado,11292,DEN
Ohio,11042,CLE
Mississippi,12448,JAN
California,12892,LAX
Florida,13303,MIA
Virginia,14524,RIC
Colorado,11292,DEN
California,14771,SFO
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11109,COS
New York,10792,BUF
Texas,11140,CRP
Florida,11481,ECP
Mississippi,11973,GPT
South Carolina,11996,GSP
Texas,12896,LBB
Arkansas,12992,LIT
Colorado,11109,COS
Colorado,11292,DEN
Texas,10423,AUS
Illinois,13930,ORD
California,14831,SJC
Colorado,10325,APA
Colorado,10325,APA
Colorado,10372,ASE
Nevada,12889,LAS
Colorado,11292,DEN
Colorado,11292,DEN
California,13796,OAK
Michigan,14275,PTK
Utah,14869,SLC
Colorado,11921,GJT
Utah,11563,ENV
Colorado,11292,DEN
Colorado,11292,DEN
California,13796,OAK
Colorado,11292,DEN
Wisconsin,13342,MKE
Colorado,11292,DEN
Arizona,10590,IFP
Arizona,10590,IFP
Colorado,11292,DEN
Colorado,11719,FNL
Colorado,13502,MTJ
Colorado,14288,PUB
Arizona,10590,IFP
Arizona,10590,IFP
Colorado,14288,PUB
California,13796,OAK
Colorado,11292,DEN
Kentucky,11193,CVG
Colorado,11292,DEN
Colorado,11109,COS
Colorado,11292,DEN
Oklahoma,13851,OKC
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Nebraska,10558,BFF
Kansas,11283,DDC
Colorado,11292,DEN
Nebraska,11468,EAR
Nebraska,12899,LBF
Kansas,12902,LBL
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,10325,APA
Colorado,11292,DEN
Arizona,14081,PGA
New Mexico,11711,FMN
Colorado,11292,DEN
Colorado,11292,DEN
South Dakota,10409,ATY
North Dakota,12389,ISN
Colorado,11292,DEN
Nevada,12889,LAS
Colorado,11921,GJT
Colorado,11292,DEN
Texas,11298,DFW
Kansas,12278,ICT
Massachusetts,10721,BOS
California,12892,LAX
Arkansas,12992,LIT
Colorado,11292,DEN
Colorado,11109,COS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11109,COS
California,12892,LAX
Minnesota,13487,MSP
Minnesota,13487,MSP
Utah,14869,SLC
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Oklahoma,15370,TUL
Colorado,11292,DEN
Colorado,11292,DEN
Arkansas,12992,LIT
Montana,13486,MSO
Arizona,15376,TUS
Colorado,11292,DEN
Colorado,11109,COS
New Mexico,10140,ABQ
Georgia,10397,ATL
Texas,10423,AUS
Iowa,11003,CID
Wyoming,11097,COD
Wyoming,11122,CPR
Texas,11298,DFW
Michigan,11986,GRR
Texas,12266,IAH
Wyoming,12441,JAC
Arkansas,12992,LIT
Oregon,13264,MFR
Nebraska,13871,OMA
Illinois,13930,ORD
Oregon,14489,RDM
California,14679,SAN
Kentucky,14730,SDF
California,14771,SFO
California,14771,SFO
California,14908,SNA
Idaho,15041,SUN
Colorado,11109,COS
California,12892,LAX
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11109,COS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11921,GJT
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11109,COS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
New Mexico,10140,ABQ
Montana,10620,BIL
Massachusetts,10721,BOS
Montana,10849,BZN
Kentucky,11193,CVG
Michigan,11433,DTW
Florida,11697,FLL
Virginia,12264,IAD
Texas,12266,IAH
Nevada,12889,LAS
Missouri,13198,MCI
Florida,13204,MCO
Illinois,13930,ORD
Pennsylvania,14100,PHL
California,14262,PSP
Virginia,14524,RIC
Nevada,14570,RNO
Utah,14869,SLC
Missouri,15016,STL
Missouri,15016,STL
Oklahoma,15370,TUL
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
New Mexico,10140,ABQ
Idaho,10713,BOI
Michigan,11433,DTW
Michigan,11986,GRR
Wisconsin,13342,MKE
Oregon,14057,PDX
Pennsylvania,14100,PHL
Nevada,14570,RNO
Florida,14635,RSW
Oklahoma,15370,TUL
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Ohio,11042,CLE
Colorado,11109,COS
Iowa,11423,DSM
Kansas,12278,ICT
Nebraska,13871,OMA
Utah,14869,SLC
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Ohio,11066,CMH
Michigan,11433,DTW
Texas,12266,IAH
Indiana,12339,IND
Florida,13204,MCO
Florida,13204,MCO
Montana,13486,MSO
Illinois,13930,ORD
Illinois,13930,ORD
Arizona,14107,PHX
Missouri,15016,STL
Tennessee,15412,TYS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Texas,11298,DFW
Indiana,12339,IND
Missouri,13198,MCI
Louisiana,13495,MSY
Utah,14869,SLC
Arizona,15376,TUS
Utah,14869,SLC
Colorado,11292,DEN
Colorado,11292,DEN
