FLIGHT_NUMBER,DISTANCE,AIR_TIME,FREIGHT,PASSENGERS,ORIGIN_STATE_ABR,DEST_STATE_ABR,UNIQUE_CARRIER_ENTITY
1,854,107,0,146,CA,CO,6673
2,967,125,0,117,CO,CA,1006
3,967,121,0,119,CA,CO,1006
4,604,108,0,2,IA,CO,1126
5,488,72,0,43,CO,ND,6081
6,576,165,0,41,CO,ND,6081
7,488,82,0,35,ND,CO,6081
8,889,116,0,22,CO,MO,6081
9,889,124,0,38,MO,CO,6081
10,1464,196,0,0,NC,CO,6081
11,1199,168,800,0,GA,CO,6055
12,1278,167,0,0,CO,SC,6055
13,761,120,0,156,CO,CA,6035
14,604,72,0,0,NV,CO,6035
15,725,113,0,3,CO,CA,1150
16,735,210,0,4,CA,CO,1150
17,735,209,0,3,CO,CA,1150
18,292,47,0,2,UT,CO,1150
19,602,88,0,62,CO,AZ,0A050
20,1558,216,0,56,PA,CO,0A050
21,1184,152,0,160,GA,CO,1260
22,1199,172,0,30,GA,CO,1260
23,1199,156,14,150,GA,CO,1260
24,1184,148,0,160,CO,GA,1260
25,592,75,0,139,CO,TX,1260
26,230,54,492,103,WY,CO,1260
27,1199,132,0,4,CO,GA,1260
28,1199,152,0,129,CO,GA,1260
29,1199,143,0,62,CO,GA,1260
30,1069,128,0,0,CO,KY,1260
31,1123,137,0,148,CO,MI,1260
32,483,126,32,150,CO,SD,1260
33,628,92,0,149,CO,NV,1260
34,853,115,70,102,CO,CA,1260
35,391,70,0,50,CO,UT,1260
36,1123,151,5,147,MI,CO,1260
37,680,101,28,160,MN,CO,1260
38,495,76,0,156,OK,CO,1260
39,967,229,0,61,CA,CO,1260
40,391,53,0,52,UT,CO,1260
41,1671,255,0,0,CT,CO,6690
42,1136,140,0,0,CO,MI,6690
43,954,120,0,27,CA,CO,6690
44,150,36,4,126,NE,CO,0A875
45,1201,151,10064,70,CO,OH,0A875
46,967,190,0,152,CO,MS,0A875
47,862,116,1,122,CO,CA,0A875
48,1709,270,0,174,CO,FL,0A875
49,1482,217,0,163,CO,VA,0A875
50,541,79,10064,58,MO,CO,0A875
51,967,119,0,200,CO,CA,10877
52,73,41,2628,281,CO,CO,6725
53,90,45,1614,278,WY,CO,6725
54,90,23,252,175,WY,CO,6725
55,602,137,1280,141,TX,CO,6725
56,1359,213,151,142,CO,NY,6725
57,929,148,167,160,CO,TX,6725
58,1250,198,120,164,CO,FL,6725
59,1095,156,0,143,CO,MS,6725
60,1278,210,0,132,CO,SC,6725
61,456,115,0,143,CO,TX,6725
62,771,112,0,165,CO,AR,6725
63,943,141,1348,140,CA,CO,6725
64,73,19,0,120,CO,CO,11033
65,764,132,0,1,CO,TX,1194
66,903,132,0,0,CO,IL,1194
67,937,126,0,1,CO,CA,1194
68,764,102,0,1,TX,CO,1194
69,1166,162,0,0,OH,CO,1194
70,919,132,0,6,TX,CO,1194
71,628,90,0,0,CO,NV,16736
72,595,161,0,30,AZ,CO,1130
73,1049,151,0,15,TX,CO,1130
74,957,132,0,21,CO,CA,1130
75,1120,142,0,0,CO,MI,1130
76,391,186,0,45,CO,UT,1130
77,312,41,0,138,UT,CO,1130
78,312,49,0,138,CO,UT,1130
79,1413,196,0,0,NY,CO,1130
80,541,82,0,20,OK,CO,1130
81,957,125,8878,0,CO,CA,6774
82,870,120,8878,0,IL,CO,6774
83,896,110,0,14,CO,WI,1189
84,804,106,0,13,NV,CO,1189
85,632,369,0,286,CO,AZ,6795
86,637,102,0,149,CO,AZ,6795
87,632,175,0,129,AZ,CO,6795
88,637,175,0,148,AZ,CO,6795
89,436,179,0,93,AZ,CO,6795
90,598,169,0,156,AZ,CO,6795
91,436,183,0,93,CO,AZ,6795
92,598,182,0,154,CO,AZ,6795
93,1070,160,270,0,AL,CO,6912
94,967,155,270,0,CO,CA,6912
95,1069,3343,627144,0,KY,CO,6841
96,1069,2944,431309,0,CO,KY,6841
97,73,19,0,156,CO,CO,6031
98,1068,148,0,156,WA,CO,6031
99,150,29,0,49,NE,CO,6904
100,495,114,0,34,CO,OK,6904
101,22,13,0,5,CO,CO,6975
102,150,1956,0,329,NE,CO,6975
103,292,1405,0,116,KS,CO,6975
104,150,1733,0,343,CO,NE,6975
105,292,1491,0,176,CO,KS,6975
106,0,176,0,37,CO,CO,6975
107,305,3767,0,645,CO,NE,6975
108,228,2635,0,423,CO,NE,6975
109,280,1299,0,82,CO,KS,6975
110,305,4462,0,600,NE,CO,6975
111,228,2947,0,422,NE,CO,6975
112,274,87,0,5,KS,CO,6975
113,280,1524,0,153,KS,CO,6975
114,420,103,0,5,CO,AZ,6932
115,231,60,0,5,CO,NM,6932
116,0,84,0,6,CO,CO,1177
117,150,45,0,20,NE,CO,6081
118,519,67,0,40,CO,SD,6081
119,576,81,0,34,CO,ND,6081
120,576,260,0,121,ND,CO,6081
121,420,60,0,113,CO,NV,6035
122,420,60,0,151,NV,CO,6035
123,73,20,450,150,CO,CO,0A050
124,592,78,0,133,CO,TX,0A050
125,403,85,0,124,CO,KS,0A050
126,1754,207,428,168,CO,MA,0A050
127,862,115,0,74,CO,CA,0A050
128,771,106,550,150,CO,AR,0A050
129,1546,196,0,154,FL,CO,0A050
130,911,138,450,150,IL,CO,0A050
131,1436,201,0,142,NC,CO,0A050
132,967,140,0,150,CA,CO,0A050
133,411,71,0,133,UT,CO,0A050
134,862,136,0,101,CO,CA,1260
135,680,86,0,110,CO,MN,1260
136,680,176,0,281,CO,MN,1260
137,391,60,0,155,CO,UT,1260
138,1123,154,6,154,MI,CO,1260
139,680,103,53,106,MN,CO,1260
140,680,95,21,160,MN,CO,1260
141,541,74,0,70,CO,OK,7041
142,1015,132,0,55,MI,CO,7041
143,391,61,0,35,WY,CO,6700
144,746,97,0,0,CO,AR,6700
145,734,100,0,0,CO,MT,6700
146,580,85,0,46,CO,AZ,6700
147,230,41,0,48,WY,CO,6700
