ORIGIN_STATE_NM,ORIGIN_WAC,ORIGIN_STATE_FIPS,ORIGIN_STATE_ABR
California,91,6,CA
Colorado,82,8,CO
California,91,6,CA
Iowa,61,19,IA
Colorado,82,8,CO
Colorado,82,8,CO
North Dakota,66,38,ND
Colorado,82,8,CO
Missouri,64,29,MO
North Carolina,36,37,NC
Georgia,34,13,GA
Colorado,82,8,CO
Colorado,82,8,CO
Nevada,85,32,NV
Colorado,82,8,CO
California,91,6,CA
Colorado,82,8,CO
Utah,87,49,UT
Colorado,82,8,CO
Pennsylvania,23,42,PA
Georgia,34,13,GA
Georgia,34,13,GA
Georgia,34,13,GA
Colorado,82,8,CO
Colorado,82,8,CO
Wyoming,88,56,WY
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Michigan,43,26,MI
Minnesota,63,27,MN
Oklahoma,73,40,OK
California,91,6,CA
Utah,87,49,UT
Connecticut,11,9,CT
Colorado,82,8,CO
California,91,6,CA
Nebraska,65,31,NE
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Missouri,64,29,MO
Colorado,82,8,CO
Colorado,82,8,CO
Wyoming,88,56,WY
Wyoming,88,56,WY
Texas,74,48,TX
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
California,91,6,CA
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Texas,74,48,TX
Ohio,44,39,OH
Texas,74,48,TX
Colorado,82,8,CO
Arizona,81,4,AZ
Texas,74,48,TX
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Utah,87,49,UT
Colorado,82,8,CO
New York,22,36,NY
Oklahoma,73,40,OK
Colorado,82,8,CO
Illinois,41,17,IL
Colorado,82,8,CO
Nevada,85,32,NV
Colorado,82,8,CO
Colorado,82,8,CO
Arizona,81,4,AZ
Arizona,81,4,AZ
Arizona,81,4,AZ
Arizona,81,4,AZ
Colorado,82,8,CO
Colorado,82,8,CO
Alabama,51,1,AL
Colorado,82,8,CO
Kentucky,52,21,KY
Colorado,82,8,CO
Colorado,82,8,CO
Washington,93,53,WA
Nebraska,65,31,NE
Colorado,82,8,CO
Colorado,82,8,CO
Nebraska,65,31,NE
Kansas,62,20,KS
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Nebraska,65,31,NE
Nebraska,65,31,NE
Kansas,62,20,KS
Kansas,62,20,KS
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Nebraska,65,31,NE
Colorado,82,8,CO
Colorado,82,8,CO
North Dakota,66,38,ND
Colorado,82,8,CO
Nevada,85,32,NV
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Florida,33,12,FL
Illinois,41,17,IL
North Carolina,36,37,NC
California,91,6,CA
Utah,87,49,UT
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Colorado,82,8,CO
Michigan,43,26,MI
Minnesota,63,27,MN
Minnesota,63,27,MN
Colorado,82,8,CO
Michigan,43,26,MI
