ORIGIN_STATE_NM,ORIGIN_AIRPORT_ID,ORIGIN
California,12954,LGB
Colorado,11292,DEN
California,14771,SFO
Iowa,11423,DSM
Colorado,11292,DEN
Colorado,11292,DEN
North Dakota,11315,DIK
Colorado,11503,EGE
Missouri,15016,STL
North Carolina,12544,USA
Georgia,10397,ATL
Colorado,11292,DEN
Colorado,11109,COS
Nevada,12889,LAS
Colorado,10372,ASE
California,10800,BUR
Colorado,11503,EGE
Utah,14869,SLC
Colorado,11292,DEN
Pennsylvania,14100,PHL
Georgia,10397,ATL
Georgia,10397,ATL
Georgia,10397,ATL
Colorado,11109,COS
Colorado,11109,COS
Wyoming,11122,CPR
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Michigan,11433,DTW
Minnesota,13487,MSP
Oklahoma,13851,OKC
California,14771,SFO
Utah,14869,SLC
Connecticut,10529,BDL
Colorado,11109,COS
California,13796,OAK
Nebraska,10558,BFF
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Missouri,13341,MKC
Colorado,11292,DEN
Colorado,11109,COS
Wyoming,11233,CYS
Wyoming,11233,CYS
Texas,11259,DAL
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
California,14831,SJC
Colorado,11109,COS
Colorado,10325,APA
Colorado,10325,APA
Colorado,10325,APA
Texas,10423,AUS
Ohio,11066,CMH
Texas,14792,SGR
Colorado,11292,DEN
Arizona,10466,AZA
Texas,10747,BRO
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Utah,11563,ENV
Colorado,11921,GJT
New York,14576,ROC
Oklahoma,15370,TUL
Colorado,11292,DEN
Illinois,11376,DPA
Colorado,11292,DEN
Nevada,14570,RNO
Colorado,11292,DEN
Colorado,11719,FNL
Arizona,10590,IFP
Arizona,10590,IFP
Arizona,10590,IFP
Arizona,10590,IFP
Colorado,13502,MTJ
Colorado,14288,PUB
Alabama,11840,GAD
Colorado,14288,PUB
Kentucky,11193,CVG
Colorado,11292,DEN
Colorado,11109,COS
Washington,14747,SEA
Nebraska,10558,BFF
Colorado,11292,DEN
Colorado,10325,APA
Nebraska,10558,BFF
Kansas,11283,DDC
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Nebraska,11468,EAR
Nebraska,12899,LBF
Kansas,12902,LBL
Kansas,12902,LBL
Colorado,11292,DEN
Colorado,14288,PUB
Colorado,11292,DEN
Nebraska,10558,BFF
Colorado,11292,DEN
Colorado,11292,DEN
North Dakota,12389,ISN
Colorado,11921,GJT
Nevada,12889,LAS
Colorado,11109,COS
Colorado,11109,COS
Colorado,11109,COS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Florida,13204,MCO
Illinois,13930,ORD
North Carolina,14492,RDU
California,14771,SFO
Utah,14869,SLC
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Michigan,11433,DTW
Minnesota,13487,MSP
Minnesota,13487,MSP
Colorado,11292,DEN
Michigan,11986,GRR
Wyoming,11097,COD
Colorado,11109,COS
Colorado,11109,COS
Colorado,11109,COS
Wyoming,11122,CPR
Virginia,11278,DCA
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Texas,11298,DFW
Colorado,11921,GJT
Texas,12266,IAH
Wyoming,12441,JAC
Wyoming,12888,LAR
California,12892,LAX
Arkansas,12992,LIT
Oregon,13264,MFR
Montana,13486,MSO
Illinois,13930,ORD
Oregon,14057,PDX
Washington,14252,PSC
California,14679,SAN
Texas,14683,SAT
Utah,14794,SGU
California,14893,SMF
California,14908,SNA
New Mexico,10140,ABQ
Connecticut,10529,BDL
Massachusetts,10721,BOS
Montana,10849,BZN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Virginia,12264,IAD
Texas,12266,IAH
Texas,12266,IAH
Missouri,13198,MCI
Florida,13204,MCO
California,14262,PSP
California,14262,PSP
Virginia,14524,RIC
Nevada,14570,RNO
Texas,14683,SAT
California,14689,SBA
California,14771,SFO
California,14771,SFO
California,14908,SNA
Missouri,15016,STL
Missouri,15016,STL
Oklahoma,15370,TUL
South Carolina,10994,CHS
Ohio,11042,CLE
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Michigan,11433,DTW
Michigan,11986,GRR
Louisiana,13495,MSY
Pennsylvania,14122,PIT
Nevada,14570,RNO
Florida,14635,RSW
California,14893,SMF
Georgia,10397,ATL
Colorado,11109,COS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Kansas,12278,ICT
Kentucky,14730,SDF
Oklahoma,15370,TUL
Kentucky,11193,CVG
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Michigan,11433,DTW
Virginia,12264,IAD
Texas,12266,IAH
Indiana,12339,IND
Florida,13204,MCO
Montana,13486,MSO
Illinois,13930,ORD
Arizona,14107,PHX
Missouri,15016,STL
Florida,15304,TPA
Tennessee,15412,TYS
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11292,DEN
Colorado,11921,GJT
Indiana,12339,IND
Missouri,13198,MCI
Tennessee,13244,MEM
California,13796,OAK
Colorado,11292,DEN
