PAYLOAD,FREIGHT,MAIL
37400,0,0
37822,0,0
37822,0,0
5300,0,0
10841,0,0
23500,0,0
10841,0,0
12659,0,0
10808,0,0
12659,0,0
21458,800,0
21458,0,0
95000,0,0
95000,0,0
2000,0,0
4000,0,0
4000,0,0
2000,0,0
51700,0,0
51700,0,0
49760,0,0
34446,0,0
50700,14,39
49760,0,0
38879,0,0
29900,492,0
34446,0,0
50700,0,0
49760,0,0
49760,0,0
32870,0,0
38470,32,0
38170,0,0
38170,70,4
49760,0,0
32870,5,0
49760,28,0
38170,0,226
99520,0,0
49760,0,0
42500,0,0
42500,0,0
42500,0,0
34279,4,0
41006,10064,0
38700,0,282
34771,1,0
35906,0,0
36926,0,0
40581,10064,0
54393,0,0
69200,2628,0
69200,1614,0
43400,252,0
34600,1280,0
34600,151,0
43400,167,0
43400,120,0
34600,0,0
34600,0,0
34600,0,0
43400,0,0
34600,1348,0
43400,0,0
1600,0,0
1600,0,0
2400,0,0
1600,0,0
2400,0,0
1600,0,0
68370,0,0
151660,0,0
75830,0,0
75830,0,0
75830,0,0
227490,0,0
75830,0,0
75830,0,0
75830,0,0
75830,0,0
23000,8878,0
23000,8878,0
12343,0,0
12343,0,0
82501,0,0
43411,0,0
43116,0,0
43116,0,0
43411,0,0
43411,0,0
43116,0,0
42116,0,0
5600,270,0
5600,270,0
1668260,627144,0
1668260,431309,0
41080,0,0
41080,0,0
11118,0,0
11118,0,0
7600,0,0
334400,0,0
144400,0,0
342000,0,0
174800,0,0
22800,0,0
425600,0,0
364800,0,0
144400,0,0
425600,0,0
364800,0,0
7600,0,0
159600,0,0
4500,0,0
4500,0,0
1600,0,0
10808,0,0
10841,0,0
10808,0,0
34308,0,0
101000,0,0
101000,0,0
40400,450,266
39900,0,0
39400,0,0
50200,428,0
48100,0,0
39900,550,0
50200,0,54
40400,450,266
40400,0,521
51700,0,460
39900,0,0
29900,0,0
29900,0,0
77758,0,0
40870,0,0
41370,6,0
29900,53,0
38879,21,0
17610,0,0
17610,0,0
13500,0,0
13500,0,0
13500,0,0
13500,0,0
13500,0,0
15200,0,0
18740,0,0
18740,0,0
15200,0,0
15200,0,0
13500,0,0
13500,0,0
18740,0,0
15200,0,0
15200,0,0
18740,0,0
18740,0,0
18740,0,0
18740,0,0
15200,0,0
13500,0,0
15200,0,0
13500,0,0
13500,0,0
18740,0,0
18740,0,0
15200,0,0
15200,0,0
18740,0,0
13500,0,0
18740,0,0
15200,0,0
18740,0,0
15200,0,0
18740,0,0
13500,0,0
15200,0,0
15200,0,0
13500,0,0
18740,0,0
15200,0,0
13500,0,0
18740,0,0
18740,0,0
32640,1,0
41971,0,1040
31999,0,1858
36804,0,0
36640,0,0
48470,55,23
35090,865,0
36804,181,0
36867,0,0
36158,0,1615
32862,0,0
100549,0,0
82777,0,75
35433,10,539
42241,703,1350
35372,0,40
35936,0,0
36733,55,1976
34143,0,0
36072,0,0
42690,0,0
35554,77,1604
41831,0,65
35832,0,97
41556,11,0
98334,306,361
48320,0,1335
82502,0,707
43141,0,954
48843,85,404
41843,0,0
46360,42,0
34772,0,0
38790,0,0
36768,117,395
35694,0,0
48920,508,430
290384,8694,0
37980,0,679
36271,0,649
28852,24,260
28356,23,0
32200,85,0
32200,1026,0
32200,0,0
32200,944,0
32200,110,0
32200,96,0
32200,0,0
32200,0,0
32200,377,0
32200,760,0
43400,0,0
32200,26,0
32200,160,0
32200,0,0
43400,345,0
32200,569,0
32200,0,0
43400,0,0
32200,6,0
21803,0,0
21803,0,0
21803,0,0
21803,0,0
19092,0,0
19092,0,0
21803,0,0
21803,0,0
19092,0,0
21803,0,0
21803,0,0
30000,0,0
30000,0,0
30000,0,0
36000,0,0
30000,0,0
37200,0,0
30000,0,0
36000,0,0
37200,0,0
30000,0,0
37200,0,0
36000,0,0
36000,0,0
30000,0,0
37200,0,0
36000,0,0
30000,0,0
36000,0,0
36000,0,0
37200,0,0
36000,0,0
36000,0,0
37200,0,0
36000,0,0
107634,16753,0
136966,14986,0
104189,50142,0
104402,23383,0
107840,47075,0
104608,42470,0
107931,42190,0
136966,13780,0
193214,114987,0
107931,42190,0
193732,30465,0
29000,0,0
29000,0,0
20210,0,0
11118,0,0
11118,0,0
11118,0,0
12350,0,0
12350,1,0
27000,0,0
27000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
79755,18239,5737
108025,32891,3787
79755,25727,0
79755,14991,218
108025,66035,0
79000,0,0
98300,428,0
79000,0,0
68892,188,0
98180,70,0
81740,0,194
35220,0,0
35220,0,0
37480,0,0
37480,0,0
30400,0,0
30400,0,0
30400,0,0
30400,0,0
13500,0,0
36480,0,0
30400,0,0
37480,0,0
30400,0,0
37480,0,0
30400,0,0
37480,0,0
72337,375,2511
72444,106,0
77848,0,0
70337,1391,2529
66423,0,2664
85088,0,0
73424,46,0
84704,0,0
82724,33,1852
73244,0,0
71109,104,3055
73314,114,0
83719,0,0
70764,19,957
73634,62,0
73000,4,0
78004,20,0
58924,0,698
69419,1,1532
59414,7,0
64400,0,0
86800,173,0
64400,190,0
64400,59,0
64400,1128,0
64400,431,0
64400,208,0
64400,565,0
64400,0,0
64400,1579,0
64400,13,0
64400,43,0
64400,210,0
43606,0,0
43606,0,0
43606,0,0
38184,0,0
43606,0,0
38184,0,0
60000,0,0
72000,0,0
73200,0,0
73200,0,0
60000,0,0
73200,0,0
73200,0,0
126608,39954,0
213861,67964,0
43004,0,0
43004,0,0
159510,33216,0
120700,2100,0
52830,0,0
52830,0,0
52830,0,0
52830,0,0
52830,0,0
52830,0,0
56220,0,0
40500,0,0
56220,0,0
40500,0,0
56220,0,0
45600,0,0
45600,0,0
54980,0,0
40500,0,0
40500,0,0
40500,0,0
54980,0,0
40500,0,0
56220,0,0
56220,0,0
56220,0,0
40500,0,0
55220,0,0
40500,0,0
40500,0,0
40500,0,0
54980,0,0
56220,0,0
122849,0,0
107090,133,0
116827,130,0
106955,472,5334
101729,568,3821
136854,0,4386
98048,0,0
125837,64,0
107620,1505,0
104148,34,0
118898,20,0
96600,884,0
130200,0,0
96600,119,0
103800,1352,0
130200,451,0
96600,368,0
96600,0,0
96600,318,0
86800,137,0
96600,107,0
96600,40,0
96600,2230,0
103800,95,0
130200,0,0
96600,1828,0
96600,18,0
96600,326,0
96600,559,0
96600,1105,0
96600,0,0
96600,0,0
96600,397,0
96600,833,0
130200,0,0
65409,0,0
65409,0,0
57276,0,0
65409,0,0
65409,0,0
57276,0,0
57276,0,0
65409,0,0
57276,0,0
57276,0,0
65409,0,0
65409,0,0
57276,0,0
57276,0,0
57276,0,0
57276,0,0
57276,0,0
