UNIQUE_CARRIER_NAME,UNIQUE_CARRIER
Mackey International Inc.,MAC
Munz Northern Airlines Inc.,XY
Cochise Airlines Inc.,COC
Golden Gate Airlines Inc.,GSA
Aeromech Inc.,RZZ
Golden West Airlines Co.,GLW
Puerto Rico Intl Airlines,PRN
Air America Inc.,STZ
Swift Aire Lines Inc.,SWT
American Central Airlines,TSF
Valdez Airlines,VEZ
Southeast Alaska Airlines,WEB
Altair Airlines Inc.,AAR
Chitina Air Service,CHI
Marco Island Airways Inc.,MRC
Caribbean Air Services Inc.,OHZ
Sundance Airlines,PRO
Seair Alaska Airlines Inc.,SAI
Southeast Airlines Inc.,SLZ
Alaska Aeronautical Indust.,AAZ
Imperial Airlines Inc.,IMP
Trans Western Airlines Utah,TWA
Wright Airlines Inc.,WRT
Presidential Express,COL
Mississippi Valley Airlines,MVA
Channel Flying Inc.,CHL
Rocky Mountain Airways Inc.,JCZ
Midstate Airlines Inc.,MIS
Sedalia Marshall Boonvl Stg,STG
Inlet Airlines,CKI
Command Airways Inc.,CMD
Emerald Airlines,EMA
Orion Air Inc.,ORI
Pan Am Express,RAN
Air Micronesia Inc.,AJ
Sunbird Inc.,SKI
Wings West Airlines,WWI
Southcentral Air Inc.,AND
Air Cargo Express Inc.,ACG
Associated Aviation Act.,AAA
Antilles Air Boats Inc.,AAB (1)
AAA Airlines,AAE
Argosy Air Lines Inc.,AAL
Air Bahia,ABH
Airbama Incorporated,ABI
Aeronaves Boringuena Inc.,ABO
Alaska Central Airways Inc.,ACA
Island Airlines Hawaii Inc.,ACH
AAA-Action Air Carrier Inc.,ACI
Air Cargo Enterprises Inc.,ACO
Air Chaparral Inc.,ACP
Alamo Commuter Airlines,ACS
Air Central Inc. (1),ACT
Air Central Inc.,ACK
Astec Air East Inc.,AEC
American Flag Airlines Inc.,AFA
Air Cargo America Inc.,AGA
All Island Air,AIA
Air Express Inc.,AIE
Air Mont. Inc.,AIM
Air Indiana,AIN
Air-Lift Associates Inc.,ALE
Brandt Air,ALI
All Seasons Air Pacific,ALL
North American Airlines Inc.,AMA
American Inter-Island Inc.,AMI
Air Nebraska Inc.,ANB
Airways Of New Mexico Inc.,ANM
Metro Air Northeast Vermont,ANO
Air North/Nenana,ANT
Trans New York,AOI
Arizona Pacific Inc.,API
Appalachian Flying Service,APL
Air Polynesia Inc.,APY
Arizona Aero Corp.,ARI
Arnold Aviation,ARN
Air Oregon,ARO
Arrowhead Airways Inc.,ARR
Amistad Airlines,ASD
Alpine Air Services Inc.,ASI
Asap Air Inc.,ASP
Astro Airways,AST
Air Atlantic Airlines Inc.,ATN
Pacific National Airways,ATO
Atlantis Airlines Inc.,ATS
Aerotransit Inc.,ATT
Air Carolina,ATX
Air Vectors Airways,AVA
Aero Virgin Islands Corp.,AVI
Aviation Services,AVS
Southern Jersey Airways,AVZ
Business Aircraft Corp.,BAC
Brennan & Hargreaves Inc.,BAH
Bankair Inc.,BAK
Bard-Air Corp.,BAR
Baja Cortez Airlines,BCA
Bennington Aviation Inc.,BEN
Beyer Aviation,BEY
Blackhawk Airways Inc.,BHK
Bighorn Airways Inc.,BHO
Birchwood Air Service,BIR
Bremerton Aviation Inc.,BMT
Boise Air Service,BOA
Brower Airways Inc.,BRO
Burlington Airways Inc.,BUR
Coleman Air Transport,CAC
Crawford Aviation Inc.,CAI
C & M Airlines,CAM
Metro Air Northeast N Y,CAP
Catalina Airlines Inc.,CAT
Air Virginia,CAV
Carriba Air Inc.,CBA
Cen-Tex Airlines Inc.,CEN
Century Airlines (Cal),CET
Chandler Flyer,CHD
Charter Airlines,CHE
Hammonds Commuter Air Serv.,CHF
Choi Aviation Inc.,CHO
Christman Air System,CHS
Cal Sierra Airlines,CIS
Centennial Airlines,CNN
Cotton Belt Aviation Inc.,COB
Coker Aviation Inc.,COK
Commutair,COM
Coral Air Inc.,COR
Cosmopolitan Comm. Airline,COS
Southeastern Commuter,COT
Courtesy Air Service Inc.,COU
Capitol Air Lines,CPA
Coastal Plains Commuter Inc.,CPC
Commuter Airlines,CRA
Crown Aviaiton Inc.,CRN
Crown Airways Inc.,CRO
Crested Butte Air Service,CRT
Catskill Airways Inc.,CSK
Century Airlines,CTA
Cothron Aviation,CTH
Catalina-Vegas Airlines,CVA
Danbury Airlines,DAN
Downeast Airlines Inc.,DEA
Decatur Aviation,DEC
DHL Airlines Inc.,DHL
Dickman Aviation Services,DIC
Desert Pacific Airways,DPA
Desert Pacific Airlines Inc.,DPI
Desert Airlines,DST
Executive Aviation Inc.,EAI
Eastern Caribbean Airways,EAS
